intent,phrase
Q87,How do i find information on gross plot ratio for landed properties
Q87,How do I find out the envelope control guidelines for my house
Q87,How do I find Out the max number of floors for my landed property
Q87,How do I find out the plot ratio allowable for a landed property address
Q87,How do I find out the plot ratio for my landed residential estate
Q87,how do I find the building height control for a premise
Q87,how do i find the past records of the various approval to my house
Q87,how do I get a copy of landed housing areas plan
Q87,How do I get information on the building height control plan for Clementi West Logispark
Q87,how do i get the information of surrounding building height
Q87,how do i know the shop house is within or outside the landed housing area
Q87,How do I start renovating my landed home?
Q87,how do i view stamp duties paid for rental
Q87,how do we know whether a landed property is affected by the maximum GFA
Q87,How does one determine storey height control for an area of interest in redevelopment of semiD home
Q87,How does the AMSL restrict a residential building height
Q87,how is height limit set
Q87,how is the allowable plot ratio for landed house determined
Q87,how is the allowable plot ratio for landed property determined
Q87,How is the allowable plot ratio for landed property determined?
Q87,How is the allowable plot ration for landed house determined?
Q87,how many basements are allowed for landed property
Q87,How many floors can I build at a Goodnan Rd
Q87,how many floors can i rebuild my gcb into
Q87,how many floors can I rebuild my landed property
Q87,how many floors can i redevelop my bungalow
Q87,how many floors can i redevelop my good class bungalow into
Q87,how many floors can i redevelop my landed
Q87,how many floors can i redevelop my landed house to
Q87,how many floors can i redevelop my landed property to
Q87,How many floors can I redevelop my landed property to?
Q87,how many floors can i redevelop my landed to
Q87,how many floors can i redevelop my semid
Q87,how many floors can i redevelop my terrace house
Q87,How many floors can I redevelop on my landed house?
Q87,how many floors of basement can I build for a private landed property
Q87,how many levels of basement can i build for landed
Q87,how many storey can be extended at syed alwi shophouse
Q87,how many storey can I rebuild my landed house
Q87,How many storeys can a house in a GCBA zone have
Q87,how many storeys can i build my landed
Q87,how many storeys can i build my landed property
Q87,How many storeys can I build my landed property?
Q87,How many stories can I build my house
Q87,HOW MANY TYPE OF NONRESIDENTIAL BUILDING IN SINGAPORE
Q87,how may o know if the land house can be subdivided or not
Q87,HOW MUCH GFA CAN I BUILD FOR LANDED
Q87,How much is the ABSD FOR private company purchase residential property
Q87,how tall can i build
Q87,how tall can my house be
Q87,How to add tenant for my landed property
Q87,HOW TO APPLY FOR RENOVATION PERMIT
Q87,How to check 18G Lowland road can build up 3 floor
Q87,HOW TO CHECK BUILDING HEIGT IN SG
Q87,How to check corner terrace dimension
Q87,HOW TO CHECK GROSS PLOT RATIO
Q87,How to check height restriction in my residential development
Q87,how to check house height limit
Q87,how to check if the house addittion and alternations are valid
Q87,How to check landed property dimension
Q87,how to check on buiding height restriction when i will like to rebuild my house at 2 kings walk to a new bungalow
Q87,how to check plot ratio
Q87,how to check plot ratio for a industrial land
Q87,how to check plot ratio for a land
Q87,how to check the building height of landed house
Q87,HOW TO CHECK THE ENVELOPE HEIGHT
Q87,how to check the height restriction of a landed property
Q87,How to do AA for my house
Q87,how to find maximum building height controls
Q87,How to find out the buildable area of my landed property
Q87,How to find out the maximum building height of anson centre
Q87,how to find out the plot ratio of residential building
Q87,How to find out whether my walkup appartment can sell to foreigner
Q87,How to find site plan for landed property
Q87,how to find the building height control for industrial land
Q87,how to find the GoodClass Bungalow sectors
Q87,How to i check my house plot ratio
Q87,How to i find Building Height control and floortofloor height control in Residential Landed housing
Q87,how to i know if a terrace house is type 1 or 2
Q87,how to interpret the building height plan
Q87,How to know property is a semi D or terrace
Q87,how to know what is the building height control
Q87,How to measure building height
Q87,how to read the building height plans
Q87,how to read the numbers on the building height plan map
Q87,I am a Singapore citizen and my wife of 17 years is a Taiwanese Can we jointly buy a private condo in Singapore
Q87,I am checking on the rental on landed property
Q87,i am currently constructing the roof of my semi d property
Q87,I am looking to purchase a piece of land to rebuild a terrace house Wanted to ask information about how many storeys i can build are there anyrestriction like road wi
Q87,I and my friend intend to buy a detached house to split into 2 semidetached house what is the procedure and how to get approval from landauthority
Q87,I have a site area of 15179 sq m land May I know how many terrace cluster housing can I build Thank you
Q87,i need some general guidelines on what i can do to my house
Q87,I need to find out about building height control
Q87,I need to know plant guide line for land house
Q87,i share a boundary fence with my son if i like to set back a bit so that the boundary fence is owned entirely by my son can the licensed survey getthe needed Approval
Q87,i want to add a additional metal staircase to the side of my house
Q87,I want to check the height control for 1 Lyndhurst road
Q87,i want to develop my landed house
Q87,I want to know 18 G Lowland Road can build up to 3 level
Q87,i want to know what is the maximum height for my landed house
Q87,i want to know what is the maximum height for my landed property
Q87,i want to know whether can i redevelop me semid into a detached
Q87,i want to know whether can i redevelop my bungalow
Q87,i want to know whether can i redevelop my semid into a bungalow 1
Q87,i want to know whether can i redevelop my semid into a detached
Q87,i want to know whether can i redevelop my semidetached into a bungalow
Q87,i want to know whether can i redevelop my semidetached into a detached
Q87,i want to know whether can i redevelop my terrace into a semid
Q87,i want to know whether can i redevelop my terrace into a semidetached
Q87,I want to know whether I can print the URA self addressed stamped envelope from website template
Q87,I want to purchase a property
Q87,I want to see if 2 HARLYN ROAD can subdivide into two semi d
Q87,I want to whether I can print the URA self addressed stamped envelope from website
Q87,I was checking on storey height control for an specific area for SD What if it says mixed landed 2 storey may i check in more specific detailsthanks
Q87,I would like to check with you whether we need to apply for permission if we put a layer of concrete on the front yard of our factory
Q87,i would like to enquire the need of additional of open metal staircase
Q87,I would like to find out about Singapores building height plan
Q87,I WOULD LIKE TO FIND OUT THE HEIGHT I CAN BUILD FOR 4 CLIFTON VALE
Q87,If I bought a private property sell it within a year how much stamp duty do I need to pay
Q87,If I bought my property sell it within a year how much stamp duty do I need to pay
Q87,If I have a 6082 sf land in a GCBA what is the gross floor area possible if I rebuild this plot of land Does it have to be 2 storey or can it be 2 storeywith attic
Q87,if i want to increase the number of storeys of my landed house do i have to pay dc
Q87,If I were to rebuild a semiD whats the height limit per storey
Q87,If the project is a detached house and owner would like to change position of staircase without any hacking of floor slab or walls
Q87,if the tenancy agreement has no stamp duty will it be considered a valid contract
Q87,if you want to redevelop a bungalow into 2 detached dwelling units what are the URA requirements to comply with
Q87,im looking for info on private property sales for landed properties in D9 1011 but on your website I can only find info for apartments where islanded data to be found
Q87,In the process of selling my current private property at WHICH STAGE of the process I can buy next property without having to pay 2nd propertystamp duty
Q87,increase floor height
Q87,industrial building height
Q87,internal height for cafe
Q87,internal height of a room
Q87,is basement height of a semid with upward sloping land included in the 12m envelope control height
Q87,Is it allowed to convert a 3 storey terrace house into a 5 storey apartment
Q87,Is it possible to increase height control restriction
Q87,Is landed house govern by site coverage
Q87,is my bungalow land a gob
Q87,is my land a gcb
Q87,is stamp duty required
Q87,Is the landed houses height limit govern by the no of storey
Q87,is there a development charge from a landed house to a apartment
Q87,is there a gross plot ratio for landed housing
Q87,Is there a height limit on my land?
Q87,Is town house a landed housing
Q87,land control
Q87,Landed home
Q87,Landed houses cluster
Q87,Landed housing
Q87,Landed housing area plan
Q87,Landed housing plan
Q87,Landed property boundary
Q87,landed property height restriction
Q87,Landed property need to pay any charges to rebuild from 1 to 2 floors
Q87,Landed residential roof top
Q87,landed storey
Q87,Lightweight canopy 3meter cantilever from landed building for car porch need URA submission
Q87,like to check what is the maximum level can i built for a semi d on namely crescent
Q87,Like to know the plot ratio of my landed property
Q87,link to building height for landed residential area
Q87,link to check plot ratio for landed residential area
Q87,Lodgement Plan for landed house
Q87,map showing the building height
Q87,master plan plot ratio
Q87,master plan plot ratio before 2003
Q87,Maximum allowable occupiers
Q87,maximum allowable plot ration for 1 unit owner occupied landed residential
Q87,maximum height of residential height
Q87,maximum storey for low rise apartment
Q87,may I ask about permissible extension of interterrace back yard to the boundary wall
Q87,may i know what is the allowable numbers of storeys for landed house in Tai Keng Garden
Q87,mixed landed
Q87,Must foreigners and Singapore Permanent Residents apply to the Controller of Residential Properties for approval if they intend to buy a flat in abuilding that is below
Q87,Must I make submission to URA if I want to add a canopy in front of my landed house
Q87,My MOP is not fulfil and I like to buy a new launch private condo So I book a unit and delay exercising the OTP Is it ok for the developer to reissueOTP for 6 months
Q87,My neighbour is building a 3 storey house at Bedok Walk Is this against the current URA guideline
Q87,No changes to this Heard from agent on the 12 m height envelope control
Q87,No I m asking for landed dwelling house There is a guide as to how much floor area l can add without payment of development charges
Q87,No my house is a landed property I am the owner I wish to know roughly how many storeys and the floor areas I am permitted to build up
Q87,No The site is in a 2 storey detached house area There is an extg attic We propose to change tge roof over the attic to a rc flat roof and make it asa roof garden
Q87,On converting semi d to detached
Q87,plan lodgment for my landed house
Q87,Plot Ratio for 61 Kaki Bukit Ave 1
Q87,plot ratio for landed property
Q87,plot ratio for serenity park
Q87,plot ratio for tamarind road
Q87,Plot ratio of landed property
Q87,Plot ration of landed property
Q87,Prevailing Planning Controls for Landed Housing
Q87,Private property absd
Q87,Proposals are to comply with the following locational criteria before they can be consideredWithin a detached house or a pair of semidetachedhouse that is outside o
Q87,psf for landed is based on land size or GFA
Q87,rear elevation pans
Q87,Rebuild religious worship place
Q87,Reconstruction landed property
Q87,Regarding Landed property renovation approval
Q87,renovate landed house
Q87,renovate my house
Q87,renovate terrace house
Q87,renovated landed property
Q87,renovating landed property
Q87,Renovating Private Residential Property
Q87,renovating property
Q87,renovation
Q87,renovation hours
Q87,Renovation to private residential property
Q87,rental for landed house
Q87,renting landed house
Q87,Residential developments with zero setback
Q87,semi detached
Q87,semi detached house plot ratio
Q87,setback
Q87,site coverage for landed property
Q87,Split level guidelines for landed property
Q87,Split one house into two
Q87,stairs in landed planning permission
Q87,stamp duty paid for rental
Q87,stamping of property for rental
Q87,standard form of sale and purchase agreement
Q87,storey height control
Q87,Tell me more on the max 12m height for landed property
Q87,terrace house abutting back lanes
Q87,terrace house awning restrictions
Q87,terrace house renovation
Q87,The procedures to get approval from single detached into semidetached houses
Q87,the project is a landed house
Q87,The renovation for 19 cantonment road shop house is just to hack a paritition wall 1 only can I process or need to do a contractor submission
Q87,toilet height
Q87,toilet height to height limit
Q87,want to purchase
Q87,we wished to add a platform lift on the internal of a landed property
Q87,what are the allowable GFA for outdoor entertainment
Q87,What are the development guidelines for building a landed property
Q87,What are the groups of estates under the landed housing areas plan
Q87,what are the key parameters to note when renovating a landed residential property
Q87,What are the key parameters to note when renovating a landed residential property?
Q87,what are the key parameyers to note when renovating a landed residential property
Q87,what are the objective of submission to URA for landed house reconstruction
Q87,what are the rules for renovating my landed house
Q87,what can i renovate in my house
Q87,what do I need to know when renovating a landed residential property 1
Q87,What do I need to know when renovating a landed residential property?
Q87,what do i need to know when renovating my landed house
Q87,What do I need to know when renovating my landed house?
Q87,What if I want to build more than one house on my land?
Q87,What is 3 storey mixed landed
Q87,what is 3 storey semidetached housing planning area
Q87,What is a the height limit for a single storey landed house
Q87,What is an envelop control for a landed property
Q87,what is building height
Q87,what is considered a good class bungalow
Q87,What is front setback
Q87,what is maximum floor to
Q87,what is site coverage
Q87,What is site coverage for landed house
Q87,What is the aa to landed housing
Q87,what is the allowable gross plot ratio for a landed house
Q87,what is the allowable gross plot ratio for landed house
Q87,what is the allowable plot ratio for my landed house
Q87,What is the allowable plot ratio for my landed house?
Q87,what is the allowable plot ratio for my landed property
Q87,What is the allowable plot ratio for my landed property?
Q87,What is the approved building height for kembangan plaza
Q87,what is the average height of a condominium
Q87,What is the building setback requirements for a detached house
Q87,what is the diffference between 2 storey and 3 storey for landed property
Q87,what is the envelope control guideline
Q87,What is the front setback for my house
Q87,what is the front setback for terrace house
Q87,What is the guide for building height in Bedok Wslk
Q87,What is the height allowed for landed property
Q87,what is the height control near airport
Q87,what is the height limit at Tanglin Halt road
Q87,What is the land size of condominium
Q87,what is the maximum allowable GPR for landed house
Q87,what is the maximum height allowed for private houses
Q87,What is the maximum height I can raise my roof to for my single storey house
Q87,What is the maximum number of storey permissible for Lorong Melayu
Q87,what is the maximum permissible height for landed terrace house
Q87,What is the maximum plot ratio for River Place condo
Q87,what is the minimum clearance for rear of house abutting drain
Q87,what is the minimum distance from the fence in the front house i cannot erect a awaning for landed house
Q87,what is the plot ratio allowable for no 4 fourth lok yang road
Q87,What is the plot ratio for landed estates
Q87,What is the plot ratio for my house 21 Jalan Gelegar Singapore 739782
Q87,what is the procedure for constructing a bungalow on my land
Q87,What is the set back for envelope landed housing
Q87,what is the setback control for semid 3rd storey
Q87,what types of renovation can i do on my house
Q87,whats the height allowable for landed house in Carmen Street
Q87,Whats the height restriction of a landed housing
Q87,where are the lodgement areas for landed housing
Q87,where can I find landed house zone
Q87,where can I find out the 2 storey bungalow zone
Q87,where can i find the building height control plan
Q87,Where can I find the building height restriction
Q87,where can i find the calculations for the allowable plot ratio for landed property
Q87,where can i find the designated landed area plan
Q87,where can i find the maximum height allowed for a landed property
Q87,where can i find the maximum height for a landed propertu
Q87,where can i find the rules and regulation for renovating a lended property
Q87,where can i find the rules and regulations for renovating a landed house
Q87,where can i find the rules and regulations for renovting a landed property
Q87,where can i find the rules for renovating a landed property
Q87,where do i find the maximum height for a landed property in a particular area
Q87,Where to find building height
Q87,Where to find or know if property is a Semi D or terrace
Q87,Where to find the plot ratio of a landed property
Q87,where to find the port ratio of my landed property
Q87,Where to find up the max height to build for a landed property
Q87,where to get dc handbook
Q87,Whether is a single or double storey landed house we check with who
Q87,Widen the gate for semi dectached house
Q88,What is the difference between sites that are zoned Business 1 and Business 2
Q88,139 East Coast road can sell to non singaporean
Q88,14 Dunlop street can convert to restaurant
Q88,191B goldhill shopping centre can what use
Q88,20 veerasamy roadis it approved for restaurant with bar
Q88,261b changi road 419748 to check this address is an approved under MOM for MYE workers
Q88,350m radius childcare
Q88,40 and 60 for office use
Q88,42 jalan malu malu can be used as a childcare
Q88,490 macpherson road can convert to a resturant
Q88,51A Neil Road for church offices training use
Q88,51A Neil Road what are the scope of uses allowed
Q88,6040
Q88,6040 industrial space usage requirement
Q88,6040 rule
Q88,6040 rule approval
Q88,6040 usage
Q88,63 boat quay permanent use
Q88,787625 can be used as a canteen
Q88,963 UPPER SERANGOON ROAD CHANGE OF USE
Q88,A current copy of relevant Grant of Written Permission from the Urban Redevelopment Authority URA as well as copies of all earlier relevant Grantof Written Permission
Q88,a duplicate of URA change of use for my premises
Q88,About Planning parameter on a site for B2 industrial development
Q88,acknowledgement of lodgment submission
Q88,Actually I am planing to use 308a lavender street for backpackers hostel
Q88,admin office restaurant
Q88,Admin pls
Q88,advise on renewal of ancillary workers dormitory
Q88,afternoon we have a few shop houses want to convert it to a Boutique hotel Its now use as residential
Q88,agents apply for change of use
Q88,Agricultural in industrial building
Q88,ALLOWAABLE USAGE
Q88,Allowable Development b2
Q88,allowable usage for roof top of a church
Q88,allowable use
Q88,allowable use for building
Q88,allowable use for industrial
Q88,allowable use for industrial properties
Q88,allowable use for office
Q88,allowable use for shop house
Q88,allowable use for shophouse
Q88,allowable use for shophouses
Q88,allowable use for Victory centre
Q88,allowable uses
Q88,allowable uses in boat quay
Q88,already apply my application no PL1231994625
Q88,Am going change from Lodgment to saloon shop what that procedure
Q88,AM NOT ABLE TO CHECK APPLICATION STATUS
Q88,amusement
Q88,amusement centre lan gaming usage able to consume alcohol within premise
Q88,amusement centre which link I can apply
Q88,ancillary area is under which group use
Q88,ancillary dormitory can be rented out
Q88,Any change of use require for dance studio at light and clean industrial area
Q88,any charges for change of use other than application fee
Q88,any consultation to enquire for change of use
Q88,any difference between commerical and industrial use
Q88,ANY EXPIRE DATE FOR GRANT OF WRITTEN PERMISSION
Q88,any fee for change of use
Q88,any limitations on land zoned health and medical care change to commercial
Q88,Any location where change of use to night club is not allow
Q88,appeal for change of use
Q88,application fee for change of use
Q88,application fo use of premises
Q88,application for approve usage
Q88,application for approved use of premises
Q88,Application for Change of Use
Q88,application for change of use from FB to changing room
Q88,Application for ORA
Q88,application for ORA how much is the application fee
Q88,application for written permission
Q88,Application of Developer Licence
Q88,Application of dormitory
Q88,application of F B permission
Q88,application ref number is CU1807303899
Q88,Application status of Enquiry on Approved Use of Premises
Q88,application who approves
Q88,apply approve use
Q88,apply approved use
Q88,apply change of premise to minimart
Q88,apply change of use lodgement
Q88,Apply for permit to use carkpark space
Q88,Apply for religious usage in industrial properties
Q88,Apply for Renewal Licence for change of use why it show under Apply for New Licence step
Q88,Apply for Renewal of Use which existing expired in July 2019 After fill in the Decision No and it show TP has lapsed and need to submit underNew Submission Why
Q88,Apply for serviced apartment permit
Q88,appreciatr if you could help me with pet boarding services
Q88,approval for change of use
Q88,approval for childcare centre use
Q88,Approval for live performance of music and singing in a restaurant
Q88,Approval for use as commercial school
Q88,approval of premises
Q88,Approval of use
Q88,approval trade
Q88,approval use
Q88,approve usage subject to evaluation
Q88,Approve use
Q88,approve use letter
Q88,approve use of premise
Q88,approve use of premises
Q88,approve use of premse
Q88,approved b1 industrial usage
Q88,approved for separate flat unit
Q88,approved usage for business 2 site
Q88,approved use 1
Q88,Approved use as restaurant Can use it as a shop
Q88,Approved use as restaurant Do we need to apply for chane of use if to use it as a shop
Q88,Approved use at 361 upper Paya Lebar road
Q88,Approved use for 30 South Buona Vista road
Q88,approved use for an unit
Q88,approved use for specific unit in a mall
Q88,approved use for the spire building
Q88,approved use of commercial properties is there any way i can check
Q88,approved use of premisies
Q88,approved use of premisses
Q88,approved use of property
Q88,approved use of regency suites
Q88,approved used for B1
Q88,approved uses for industrial building
Q88,approved uses of premise
Q88,Arcade is counted as which category
Q88,Are temple events allowed in a private building
Q88,Are tenants allowed to hold temple events in a private building
Q88,Are there any key restrictions and actions required for converting a multistorey carpark into a server room
Q88,Are there any limitations for a hospital land transfer to commercial use
Q88,are there any limitations on land zoned health and medical care change to commercial
Q88,are there any planning at 571 serangoon road shophouse
Q88,are there different rates for industrial use and utility use
Q88,Area suitable for place of worship
Q88,As a owner can I renew the change of use first let the tenant submit the clearance from SCDF later
Q88,As i submitted the application 10 days ago can i have the contact number of the officer in charge
Q88,ask about conserve building what materials can be use at the ceiling
Q88,assess change of use
Q88,assistance on change of use for commercial retail premise
Q88,Association building is classified as commercial building
Q88,at my beach road shop do I need to apply for the licence
Q88,At what stage that it will show TP lapsed when processing renewal for Change of Use application
Q88,Authorisation for shop
Q88,Authorised change of use
Q88,Authorities use
Q88,Az building canteen can convert to restaurant
Q88,B1 1
Q88,b1 6040 rule applies
Q88,B1 and B2
Q88,B1 and B2 commercial
Q88,B1 and B2 difference
Q88,B1 and B2 industrial
Q88,B1 B2 usage guidelines
Q88,B1 Business 1 B1 These are areas used or intended to be used for industry warehouse utilities and telecommunication uses for which the relevantauthority eg NEA
Q88,B1 business trade
Q88,b1 factory use
Q88,B1 factory useage
Q88,B1 industrial 1
Q88,b1 industrial activtie s
Q88,b1 industrial approved use
Q88,B1 Industrial Building
Q88,B1 industrial for music studio
Q88,B1 INDUSTRIAL OFFICE
Q88,b1 industrial property
Q88,B1 industrial spac
Q88,B1 industrial use 100 as office allowed
Q88,b1 industrial use for wine storage
Q88,b1 industrial zone
Q88,B1 INDUSTRIES
Q88,B1 industry
Q88,B1 industry type of use
Q88,B1 industry which is for commercial purposes
Q88,B1 indutry
Q88,B1 light industry usage
Q88,B1 light industry uses
Q88,B1 list of activity
Q88,b1 or b2
Q88,b1 or b2 industry
Q88,B1 permissible uses
Q88,b1 property
Q88,b1 space
Q88,B1 usage
Q88,b1 use
Q88,B1 vs B1 white
Q88,b1 white
Q88,B2
Q88,b2 business
Q88,b2 industrial
Q88,B2 INDUSTRIAL BUILDING
Q88,B2 Industrial unit can we apply for change of use for medical clinic
Q88,B2 used group definition
Q88,b2 zoning
Q88,bakery
Q88,Baking class
Q88,Baking enrichment class can go where
Q88,baking training school in b1 industrial
Q88,Bank with cafe is consider as fb
Q88,Beauty and massage services
Q88,biosafety laboratory
Q88,blk 135 jurong gateway road permanent change of use
Q88,Blk 185 Toa Payoh Central 01342 HDB SHOPHOUSE HDB no objection to rent out ground floor as Chiropractic clinic Ha sto check with URA isthis need change of use
Q88,boutique to FNB
Q88,build dormitory
Q88,building change of use
Q88,building childcare in sengkang central
Q88,building class
Q88,Building now is warehouse do we need to apply for change of use for light industry usage
Q88,building of dormitory
Q88,building of dormitory in JTC factory
Q88,Building use
Q88,building use table
Q88,business 1
Q88,business 1 or business 2
Q88,Business 2 B2
Q88,business 2 can do melting industry
Q88,Business 2 IndustrialContent
Q88,business 2 use
Q88,business 2 what does this mean
Q88,Business 2 white
Q88,business classification
Q88,business development b2
Q88,business park allowable use
Q88,business suitable to use b1 space
Q88,business usage
Q88,business zone
Q88,But its not for the season parking Its for application for change of use lodgement
Q88,butchery is which catagory
Q88,Cafe is under which use class
Q88,call ura on change of us
Q88,can 202 serangoon road be used as hotel
Q88,can 38 platina road use as childcare
Q88,Can a call center operate in B1
Q88,Can a call center operate in business 1
Q88,can a change of use to office purpose be applied to landed housing
Q88,Can a company submit change of use
Q88,Can a condominium be used as a pet boarding
Q88,Can a conservation Shop house run as a pet shop
Q88,can a F B approved shop be converted to a commercial school
Q88,can a food factory be used as a food warehouse
Q88,Can a home be used as a church service
Q88,Can a landed house be used as a tuition centre
Q88,can a landed private residential house be used as a construction site office
Q88,can a office be allowed in shophouses
Q88,can a premises with restaurant use be use as office without doing a change of use
Q88,can a residential be converted to serviced apartment
Q88,Can a residential landed private property be used as a pet training school
Q88,Can a shop unit be used as a sleeping quarters
Q88,can a shop used for bakery
Q88,Can a shophouse upper level use for residential
Q88,can a single unit of semi detach be used as a childcare centre
Q88,Can a terrace house of 4 level be converted into a childcare centre
Q88,Can aesthetic clinic and medispa under same entity
Q88,can an office be allowed in shophouses
Q88,Can an office be used for public talk
Q88,Can an unit in a shopping mall be used as an office
Q88,can architect lodge change of use
Q88,can architectural firms be located in b1 industrial space
Q88,can b1 factory be use for printing
Q88,can B1 industrial activities be carried out in B2 propertyJamie saysI found an answer from Ask JudyHDBHave you booked a flatYouselectedNoJamie says
Q88,can b1 industrial apply for change of use for worship
Q88,Can B1 industrial be used as pub
Q88,Can B1 industrial space use for music studio
Q88,can B1 industrial unit be subdivided into smaller units for rent
Q88,Can B2 canteen change to a restaurant
Q88,can basketball training lease b1 industrial factory
Q88,Can be B1 Industrial space be allowed for Industrial Training centre
Q88,can be B1 Industrial space be used as A training centre
Q88,Can businese 1 use for lab testing with heavy machinery
Q88,can change of use approval be used for other than the applicabt
Q88,Can check for me the status of my application the reference no is CU1906126855
Q88,Can childcare centre be allowed in landed houses
Q88,Can childcare centres be setup in landed estate
Q88,Can childcare operate on landed property
Q88,can church be in an industrial unit on weekend
Q88,Can church rent an industrial premises for use
Q88,can class 3 Restaurant be converted to class 18 commercial school
Q88,can commercial property be used as a hotel
Q88,Can commercial shop house be use as residential
Q88,can csfs offices be rented out as commercial office
Q88,can desker road conservation shop use as a Yoga traning centrethanks
Q88,can existing warehouse be converted to church Congregational If is within the 4060 proportion
Q88,Can fees for change of use be refunded
Q88,Can flatted factory be used as office
Q88,Can gym be allowed at 21 Lorong telok
Q88,Can gym be allowed in industrial premises
Q88,Can gym be allowed in shophouse
Q88,Can gym be allowed in shopping centre
Q88,can I alter my building
Q88,can i apply for change of use
Q88,Can I apply for change of use from residential to office set up
Q88,Can I apply for change of use?
Q88,Can i apply for hotel use for 6 sam leong road
Q88,can i apply for lodgment
Q88,can i apply for lodgment for change of use
Q88,Can I apply for lodgment for change of use?
Q88,can i ask how can i check if this space is for retail used or fb used
Q88,Can I ask if showrooms at One Commonwealth Lane able to change of use to either gym or childcare size around 3896 sq ft
Q88,can I ask medical need to apply use of change
Q88,can i ask on change of use
Q88,Can I ask which department I should write to with regards to change of use for my building
Q88,can I build dormitory in my factory
Q88,Can I buy a factory unit convert to church
Q88,can I change land use from utility to commercial
Q88,can I change my home to a child care centre
Q88,can i change my house into a bungalow
Q88,Can I change my landed house fot commercial usage
Q88,Can I change the use of my building without doing works
Q88,Can I check if 1 George Streets permitted usage is that of an office building
Q88,can I check if a landed house is approved for childcare centre
Q88,can i check if a unit can do FB
Q88,can i check if banking hall under shop usage or office usage
Q88,Can I check if Im able to convert a unit that I own in paya ubi to house workers
Q88,Can I check if pump room for infrastructure project shall be considered as GFA
Q88,Can i check if residential area can be used for retail business usage Like for example a condo unit
Q88,can i check if shophouses can be used for airbnb
Q88,CAN I CHECK IF THE PREMISE IS ELIGIBLE FOR CHANGE OF USE
Q88,can i check if we were to ask on enquiry for the usage of space of the marina promotary
Q88,Can i check jalan malu malu unit 52 intend of use
Q88,Can I check on the approved usage for a retail shop
Q88,Can I check on the usage of retail units
Q88,can i check the change of use for 27 Geylang Lorong 13
Q88,can I check the flat price from ura website
Q88,can i check the permissible activities in business park
Q88,Can I check what is the allowed use for this particular location postal code 758260
Q88,can i check what is the current usage for 52 telok blangah road telok blangah house 021314
Q88,Can I check what is the registered no for Blk 13 AMK Tech 1
Q88,Can i check where i can get the information on the allow use for a building under commercial use
Q88,can I check which DC use group does hawker centre fall under thanks
Q88,can i check with you how am i going to check whether the premises that i want to rent CAN be allow operate as Ktv pub
Q88,can i check with you on private property usage
Q88,Can I do a self check for Change of use for shophouses
Q88,can i do change of use for a residential unit at 1 rangoon lane
Q88,Can i have a permanent food truck on shophouses
Q88,can I have a shop in a condominium development
Q88,can i have food in industrial park
Q88,Can I have live music
Q88,Can i inquire on the necessary change of use to convert a showroom at mid view city to a childrens indoor playground
Q88,can I key company under the ownerco owner section particular for the renewal of change of use
Q88,Can I know Ang Mo Kio tech 1 is under heavy or light industrial or heavy industrial B1 or B2 Or can hv me a call at 90011530
Q88,can i know do i need to change of use for existing shop unitat Tai Seng Centre to use as convenience shop usage
Q88,Can I know if Midview City can be use for education training
Q88,can i know what is the list of approved use for my b1 unit
Q88,Can I know where to find DC use class
Q88,can i know where to find out info about industrial b1 and b2 zoning
Q88,can i open a hotel in a commercial residential zoned area
Q88,can i open a shop in my house
Q88,Can i operate a design showroom at level 1 of a shophouse zoned residential with commercial at level 1
Q88,Can i operate showroom in a private shophouse level 1 zoned residential with commercial at level 1
Q88,Can I organise events at my landed property
Q88,Can I pls check the status of our application
Q88,Can I print written permission from the website
Q88,Can I qualify for lodgment
Q88,Can I register my business using a b1
Q88,Can I renew application for Change of Use in advance 3 months prior to expiry
Q88,Can I rent a B2 industrial space
Q88,can I rent an office in light industrial building
Q88,Can I rent an office unit to run my hair salon
Q88,can i rent B1 for ID showroom
Q88,Can i rent my house for commercial use
Q88,can I rent out my office space for religious meeting
Q88,Can I rent out my training space for chuarch groups
Q88,can i set up a stall selling market produce
Q88,Can I set up an office in a shophouse?
Q88,can i set up dance studio in industrial building
Q88,can i set up my business in a shophouse
Q88,Can I set up tuition Centre in landed houses
Q88,can i submit a change of use
Q88,Can I submit a change of use application without any supporting documents?
Q88,Can I submit for a renewal application for change of use now?
Q88,can I submit plan lodgment for landed house
Q88,can i submit to ura lodgement for the Paragon Shopping complex PROPOSED CHANGE OF USE OF SHOP UNIT 0502 TO MASSAGEESTABLISHMENT THE PARAGON ON LOT 01139C TS 27 AT
Q88,can i turn shophouse into an office
Q88,Can I use a canteen as a restaurant
Q88,can i use a shophouse
Q88,can i use a shophouse as a restaurant
Q88,can i use a shophouse for restaurant
Q88,Can I use a shophouse for restaurant?
Q88,Can I use a shophouse for shop as residential
Q88,can I use my premise for spa therapy
Q88,can i use my unit at telok ayer as a bar
Q88,Can I use office spacr for storage only
Q88,Can I use office units as training school
Q88,Can I use shophouse for gym
Q88,Can I use shophouse for restaurant
Q88,can i use the same space for 2 different businesses
Q88,can individual buy b1 unit
Q88,can it be lodged
Q88,Can kindergarten be built on the B1
Q88,CAN KINEX SHOPPING MALL CAN BE SUBMITTED UNDER LODGEMENT
Q88,Can labotoary be at B1 industrial
Q88,Can landed property be used for a childcare Centre
Q88,Can light industrial building be used for commercia school
Q88,Can Light Industrial building house a TCM Clinic
Q88,Can motorcycle workshop located at B1 industrial building
Q88,Can my change of use application be approved
Q88,Can my house be approved for childcare use
Q88,Can my new use for premises be lodged?
