Question Asked,Answer Given,Top Match,Answer Taught,Category,Question Type,Date Received, Date Responded,Response Time,Processed By
How to submit appeal for company,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/26/2019 11:15,11/26/2019 11:19,<1,Kan Yuan Jing
can i hold season parking off for a month,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Suspend,,No Feedback,11/26/2019 8:55,11/26/2019 11:18,<1,Kan Yuan Jing
can there be a break in season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Suspend,,No Feedback,11/26/2019 8:55,11/26/2019 11:18,<1,Kan Yuan Jing
height restriction,General info on buying and renovating private residential properties,Top Match,Catch all,,No Feedback,11/23/2019 14:32,11/25/2019 17:57,2,Oh Kie Hock
what is ess,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/23/2019 9:38,11/25/2019 17:57,2,Oh Kie Hock
What are illegal rental,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,11/23/2019 8:56,11/25/2019 17:56,2,Oh Kie Hock
Bay shore new district development,General Info on URA SPACE map service,,Catch all,,No Feedback,11/23/2019 12:14,11/25/2019 17:56,2,Oh Kie Hock
Bayshore district development,General Info on URA SPACE map service,,Catch all,,No Feedback,11/23/2019 12:15,11/25/2019 17:56,2,Oh Kie Hock
am I choosing the right topic,Catch all,Top Match,Catch all,,No Feedback,11/23/2019 12:32,11/25/2019 17:56,2,Oh Kie Hock
for URA submission what are the version for BIM submission,Catch all,Top Match,Catch all,,No Feedback,11/23/2019 11:23,11/25/2019 17:56,2,Oh Kie Hock
can i find the area of a certain plot of land,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,11/23/2019 13:46,11/25/2019 17:56,2,Oh Kie Hock
New changes near redhill mrt,General Info on URA SPACE map service,,Catch all,,No Feedback,11/24/2019 6:26,11/25/2019 17:56,1,Oh Kie Hock
how big is the district,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,11/23/2019 21:02,11/25/2019 17:55,2,Oh Kie Hock
can 2 semi detached be combined back to be a bungalow,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/23/2019 16:11,11/25/2019 17:55,2,Oh Kie Hock
can semidetached be combined back to a bungalow,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/23/2019 16:11,11/25/2019 17:55,2,Oh Kie Hock
what is the area of the district,How can I obtain the approved plan for my property?,Top Match,Catch all,,No Feedback,11/23/2019 21:03,11/25/2019 17:55,2,Oh Kie Hock
how do I find out the allowable height for landed property,General info on buying and renovating private residential properties,Top Match,General Info on URA SPACE map service,,No Feedback,11/24/2019 17:33,11/25/2019 17:55,1,Oh Kie Hock
How to obtain a opy of sherwood towers plot size and ratio,How can I obtain the approved plan for my property?,Top Match,General Info on URA SPACE map service,,No Feedback,11/24/2019 22:14,11/25/2019 17:54,1,Oh Kie Hock
plot ratio,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/24/2019 23:18,11/25/2019 17:54,1,Oh Kie Hock
rates,General information on development charge rates,,Catch all,,No Feedback,11/25/2019 10:42,11/25/2019 17:54,<1,Oh Kie Hock
development charge for landed houses,General information on development charge rates,Top Match,General information on development charge rates,,No Feedback,11/25/2019 10:33,11/25/2019 17:54,<1,Oh Kie Hock
May I ask whats d last transacted price for Euro Asia Court Apartment at River Valley Close Thank you,General information on property market,,General information on property market,,No Feedback,11/25/2019 11:05,11/25/2019 17:54,<1,Oh Kie Hock
what is present rate of development charge The percentage of enhance value,General information on development charge rates,Top Match,General information on development charge rates,,No Feedback,11/25/2019 11:08,11/25/2019 17:54,<1,Oh Kie Hock
When is land subdivision required,Catch all,,Catch all,,No Feedback,11/25/2019 11:11,11/25/2019 17:54,<1,Oh Kie Hock
special and detailed control plans,General information on planning process,Top Match,General Info on URA SPACE map service,,No Feedback,11/25/2019 13:26,11/25/2019 17:52,<1,Oh Kie Hock
what areas are subject to street block plans,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/25/2019 13:27,11/25/2019 17:52,<1,Oh Kie Hock
street block plans,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/25/2019 13:27,11/25/2019 17:52,<1,Oh Kie Hock
Hi Jaime I would like you to clarify the,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,11/25/2019 13:36,11/25/2019 17:52,<1,Oh Kie Hock
CLARIFY and what is wrong with this I am trying to type a question and cannot use the enter button as a next paragraph Please reply me I am Sindy Keng,General info for feedback on e-Service errors,,Catch all,,No Feedback,11/25/2019 13:40,11/25/2019 17:52,<1,Oh Kie Hock
what are special ccontrol areas,General info on Development Control guidelines and handbooks,Top Match,General Info on URA SPACE map service,,No Feedback,11/25/2019 13:49,11/25/2019 17:51,<1,Oh Kie Hock
special control areas,General info on Development Control guidelines and handbooks,,General Info on URA SPACE map service,,No Feedback,11/25/2019 13:49,11/25/2019 17:51,<1,Oh Kie Hock
Building height,General info on buying and renovating private residential properties,Top Match,General Info on URA SPACE map service,,No Feedback,11/25/2019 13:50,11/25/2019 17:51,<1,Oh Kie Hock
Central Business District,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/25/2019 14:04,11/25/2019 17:51,<1,Oh Kie Hock
how can i get the maps of singapores history,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,11/25/2019 14:07,11/25/2019 17:51,<1,Oh Kie Hock
howsingapore history,General information on Singapore City Gallery,,Catch all,,No Feedback,11/25/2019 14:17,11/25/2019 17:51,<1,Oh Kie Hock
may i know what is URA hotline,Who can I speak to at URA?,Top Match,Who can I speak to at URA?,,No Feedback,11/25/2019 14:17,11/25/2019 17:50,<1,Oh Kie Hock
how can i get the historical map of singapore,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,11/25/2019 14:03,11/25/2019 17:50,<1,Oh Kie Hock
works that do not require planning permission,What are the development works that are exempted from planning permission?,Top Match,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,11/25/2019 14:37,11/25/2019 17:50,<1,Oh Kie Hock
Is BIM submission required,Catch all,Top Match,Catch all,,No Feedback,11/25/2019 17:43,11/25/2019 17:50,<1,Oh Kie Hock
how to see land plan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/25/2019 17:28,11/25/2019 17:50,<1,Oh Kie Hock
Sell Home Bakes in Singapore,General Info on Home Business,,General Info on Home Business,,No Feedback,11/21/2019 8:50,11/25/2019 17:49,4,Oh Kie Hock
Can I check whether do I need to apply for any license if I am doing an awning on my balcony,General info on change of use,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/21/2019 8:51,11/25/2019 17:49,4,Oh Kie Hock
Hi I want to check if our company is qualified to apply for Home Office,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/21/2019 9:13,11/25/2019 17:49,4,Oh Kie Hock
change of building cladding need any submission,General info on change of use,Top Match,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,11/21/2019 14:25,11/25/2019 17:48,4,Oh Kie Hock
how to use home without ura permit,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/21/2019 15:44,11/25/2019 17:48,4,Oh Kie Hock
Do I have to register my home as a Home Office if I use my private residential address for business registration purpose I will not be conducting business activities wit,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/21/2019 15:49,11/25/2019 17:48,4,Oh Kie Hock
When do we have to submit to URA for TOP clearance,What are the development works that are exempted from planning permission?,Top Match,Catch all,,No Feedback,11/21/2019 15:45,11/25/2019 17:48,4,Oh Kie Hock
What is the meaning of business 1,General info on change of use,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/21/2019 15:48,11/25/2019 17:48,4,Oh Kie Hock
AdditionAlteration to Free Standing Structure or Strata Unit in Condo Flat,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/21/2019 22:10,11/25/2019 17:46,4,Oh Kie Hock
rooftop,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/21/2019 22:59,11/25/2019 17:46,4,Oh Kie Hock
My unit has a high ceiling can I build a loft,"My unit has a high ceiling, can I build a loft?",Top Match,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/21/2019 23:54,11/25/2019 17:46,4,Oh Kie Hock
I want to apply for permit to hang banner at the gate of semi detached house how do i go about it,Catch all,Top Match,Catch all,,No Feedback,11/21/2019 23:55,11/25/2019 17:46,4,Oh Kie Hock
to hang a for sale banner at gate,Catch all,Top Match,Catch all,,No Feedback,11/21/2019 23:57,11/25/2019 17:46,4,Oh Kie Hock
Can I get the legal requisition reply for year 2015,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/22/2019 8:49,11/25/2019 17:46,3,Oh Kie Hock
purchase urban design guide plam,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,11/22/2019 9:24,11/25/2019 17:45,3,Oh Kie Hock
purchase of UD Guide Plans,How can I obtain the approved plan for my property?,,Catch all,,No Feedback,11/22/2019 9:25,11/25/2019 17:45,3,Oh Kie Hock
Purchase Urban Design Guide Plan,General info on Development Control guidelines and handbooks,,General Info on URA SPACE map service,,No Feedback,11/22/2019 9:25,11/25/2019 17:45,3,Oh Kie Hock
license temporary,What is a Temporary Written Permission?,,Catch all,,No Feedback,11/22/2019 15:18,11/25/2019 17:45,3,Oh Kie Hock
any requirements for building facade lightings,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,11/22/2019 10:00,11/25/2019 17:44,3,Oh Kie Hock
whats the ceiling height on the Victorian bungalow,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,11/22/2019 12:22,11/25/2019 17:44,3,Oh Kie Hock
encroachment,General info on reporting infringements,Top Match,Catch all,,No Feedback,11/22/2019 12:51,11/25/2019 17:44,3,Oh Kie Hock
Can electroplating be allowed in business park,General Info on Home Business,Top Match,Catch all,,No Feedback,11/22/2019 15:13,11/25/2019 17:44,3,Oh Kie Hock
Mezzanine racking,What are the development works that are exempted from planning permission?,,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,11/22/2019 17:23,11/25/2019 17:44,3,Oh Kie Hock
lifestyle survey,Catch all,,Catch all,,No Feedback,11/22/2019 19:19,11/25/2019 17:43,3,Oh Kie Hock
someone is coming to my door for a lifestyle survey is it genuine,Catch all,,Catch all,,No Feedback,11/22/2019 19:20,11/25/2019 17:43,3,Oh Kie Hock
contact number,General Information about URA,Top Match,General Information about URA,,No Feedback,10/2/2019 14:14,11/25/2019 16:12,54,Benjamin Chow
contact,General Information about URA,Top Match,General Information about URA,,No Feedback,10/3/2019 12:06,11/25/2019 16:12,53,Benjamin Chow
how to contact the Officer in charge,General Information about URA,Top Match,General Information about URA,,No Feedback,10/7/2019 8:53,11/25/2019 16:12,49,Benjamin Chow
URA OFFICE CONTACT NUMBER,General Information about URA,Top Match,General Information about URA,,No Feedback,10/7/2019 11:05,11/25/2019 16:12,49,Benjamin Chow
contact number for suatomer service,General Information about URA,Top Match,General Information about URA,,No Feedback,10/7/2019 13:46,11/25/2019 16:12,49,Benjamin Chow
is there an email I can contact ora with,General Information about URA,Top Match,General Information about URA,,No Feedback,10/8/2019 13:21,11/25/2019 16:12,48,Benjamin Chow
contact,General Information about URA,Top Match,General Information about URA,,No Feedback,10/8/2019 13:23,11/25/2019 16:12,48,Benjamin Chow
Whom can i contact with regard to events at marina bay,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/3/2019 11:23,11/25/2019 16:12,53,Benjamin Chow
contact of officer managing the lawn at marina bay,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/3/2019 11:35,11/25/2019 16:12,53,Benjamin Chow
Contact ura parking officer,Car Parks-Parking Offences-Appeals,,General Information about URA,,No Feedback,10/3/2019 13:45,11/25/2019 16:11,53,Benjamin Chow
Hi who do i contact to find out on the trade use of the property at certain location,General info on change of use,Top Match,General Information about URA,,No Feedback,10/7/2019 9:05,11/25/2019 16:11,49,Benjamin Chow
change of use contact,How do I submit a change of use lodgment?,Top Match,General Information about URA,,No Feedback,10/9/2019 14:48,11/25/2019 16:08,47,Benjamin Chow
I want the ura contact number,This is URA Careers. How can I help you?,Top Match,General Information about URA,,No Feedback,10/10/2019 13:19,11/25/2019 16:08,46,Benjamin Chow
Hi Jamie I from MBSB Bank can i have HR contact no for perform staff employment confirmation,General Information about URA,Top Match,General Information about URA,,No Feedback,10/10/2019 16:48,11/25/2019 16:07,46,Benjamin Chow
HR contact detail,General Information about URA,Top Match,General Information about URA,,No Feedback,10/10/2019 16:48,11/25/2019 16:07,46,Benjamin Chow
ura season parking contact,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/10/2019 16:54,11/25/2019 16:07,46,Benjamin Chow
media contact,General Information about URA,Top Match,General Information about URA,,No Feedback,10/11/2019 13:28,11/25/2019 16:07,45,Benjamin Chow
contact,General Information about URA,Top Match,General Information about URA,,No Feedback,10/13/2019 1:27,11/25/2019 16:07,43,Benjamin Chow
contact,General Information about URA,Top Match,General Information about URA,,No Feedback,10/14/2019 11:32,11/25/2019 16:07,42,Benjamin Chow
contact,General Information about URA,Top Match,General Information about URA,,No Feedback,10/14/2019 15:22,11/25/2019 16:07,42,Benjamin Chow
any contact that I can speak too,General Information about URA,Top Match,General Information about URA,,No Feedback,10/17/2019 10:53,11/25/2019 16:07,39,Benjamin Chow
contact number,General Information about URA,Top Match,General Information about URA,,No Feedback,10/17/2019 16:11,11/25/2019 16:07,39,Benjamin Chow
Ura contact number,General Information about URA,Top Match,General Information about URA,,No Feedback,10/18/2019 8:24,11/25/2019 16:07,38,Benjamin Chow
contact ura,General Information about URA,Top Match,General Information about URA,,No Feedback,10/18/2019 15:11,11/25/2019 16:07,38,Benjamin Chow
contact,General Information about URA,Top Match,General Information about URA,,No Feedback,10/21/2019 15:31,11/25/2019 16:07,35,Benjamin Chow
I would like to contact your press or communication department,General Information about URA,Top Match,General Information about URA,,No Feedback,10/21/2019 20:56,11/25/2019 16:07,35,Benjamin Chow
contact planners,General Information about URA,Top Match,General Information about URA,,No Feedback,10/21/2019 21:08,11/25/2019 16:07,35,Benjamin Chow
contact,General Information about URA,Top Match,General Information about URA,,No Feedback,10/24/2019 13:14,11/25/2019 16:07,32,Benjamin Chow
contact,General Information about URA,Top Match,General Information about URA,,No Feedback,10/24/2019 14:19,11/25/2019 16:07,32,Benjamin Chow
hi can I have your contact no for a feedback tks,General Information about URA,Top Match,General Information about URA,,No Feedback,10/29/2019 15:32,11/25/2019 16:07,27,Benjamin Chow
contact number for enquiry,General Information about URA,Top Match,General Information about URA,,No Feedback,10/29/2019 15:52,11/25/2019 16:07,27,Benjamin Chow
contact URA,General Information about URA,Top Match,General Information about URA,,No Feedback,10/29/2019 16:34,11/25/2019 16:07,27,Benjamin Chow
how to contact ura,General Information about URA,Top Match,General Information about URA,,No Feedback,10/30/2019 9:07,11/25/2019 16:07,26,Benjamin Chow
URA Contact no pls,Catch all,,General Information about URA,,No Feedback,10/15/2019 9:42,11/25/2019 16:07,41,Benjamin Chow
customer service ura contact no pls,Catch all,,General Information about URA,,No Feedback,10/15/2019 9:43,11/25/2019 16:07,41,Benjamin Chow
contact development control group,,,General Information about URA,,No Feedback,10/15/2019 11:05,11/25/2019 16:07,41,Benjamin Chow
regarding car park how to contact URA authority,Car Parks-Season Parking-Apply,Top Match,General Information about URA,,No Feedback,10/15/2019 15:22,11/25/2019 16:07,41,Benjamin Chow
customer service contact,(FurnishDriver) How do I furnish the driver's particulars?,,General Information about URA,,No Feedback,10/15/2019 16:07,11/25/2019 16:07,41,Benjamin Chow
may i have email address for URA contact us,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,General Information about URA,,No Feedback,10/15/2019 16:46,11/25/2019 16:07,41,Benjamin Chow
Telephone number to contact URA,Who can I speak to at URA?,Top Match,General Information about URA,,No Feedback,10/30/2019 13:51,11/25/2019 16:07,26,Benjamin Chow
Can I have a contact number for officer who knows about land premium,General Information about URA,Top Match,General Information about URA,,No Feedback,10/30/2019 13:54,11/25/2019 16:06,26,Benjamin Chow
who should we contact for season parking change of vehicle heavy,Car Parks-Season Parking,Top Match,Car Parks-Season Parking,,No Feedback,10/30/2019 14:04,11/25/2019 16:06,26,Benjamin Chow
please advise contact no for visit to City Gallery,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,10/30/2019 15:07,11/25/2019 16:06,26,Benjamin Chow
contact,General Information about URA,Top Match,General Information about URA,,No Feedback,10/30/2019 16:41,11/25/2019 16:06,26,Benjamin Chow
contact us,General Information about URA,Top Match,General Information about URA,,No Feedback,10/31/2019 9:58,11/25/2019 16:06,25,Benjamin Chow
ura contact,General Information about URA,Top Match,General Information about URA,,No Feedback,10/31/2019 10:28,11/25/2019 16:06,25,Benjamin Chow
URA CONTACT NO,General Information about URA,Top Match,General Information about URA,,No Feedback,10/31/2019 11:13,11/25/2019 16:06,25,Benjamin Chow
Hi can i check who should i contact regarding filming a short documentary at the piano outside the URA building,General Information about URA,Top Match,General Information about URA,,No Feedback,10/31/2019 11:20,11/25/2019 16:06,25,Benjamin Chow
contact,General Information about URA,Top Match,General Information about URA,,No Feedback,10/31/2019 11:55,11/25/2019 16:06,25,Benjamin Chow
what is URA contact number,General Information about URA,Top Match,General Information about URA,,No Feedback,10/31/2019 16:02,11/25/2019 16:06,25,Benjamin Chow
press contact,General Information about URA,Top Match,General Information about URA,,No Feedback,10/31/2019 21:37,11/25/2019 16:06,25,Benjamin Chow
how to contACT YOU,General Information about URA,Top Match,General Information about URA,,No Feedback,10/31/2019 22:42,11/25/2019 16:06,25,Benjamin Chow
contact number for ura,General Information about URA,Top Match,General Information about URA,,No Feedback,11/4/2019 10:25,11/25/2019 16:06,21,Benjamin Chow
I need an answer who can I contact,General Information about URA,Top Match,General Information about URA,,No Feedback,11/4/2019 11:05,11/25/2019 16:06,21,Benjamin Chow
I know the location Who can I contact to enquiry,General Information about URA,Top Match,General Information about URA,,No Feedback,11/4/2019 11:30,11/25/2019 16:06,21,Benjamin Chow
contact number,General Information about URA,Top Match,General Information about URA,,No Feedback,11/4/2019 12:08,11/25/2019 16:06,21,Benjamin Chow
No Please get operator to contact me,General Information about URA,Top Match,General Information about URA,,No Feedback,11/4/2019 13:08,11/25/2019 16:06,21,Benjamin Chow
contact of concervation,General Information about URA,,General Information about URA,,No Feedback,11/5/2019 10:11,11/25/2019 16:06,20,Benjamin Chow
Who to contact if I want to know more about housing sustainability,General Information about URA,Top Match,General Information about URA,,No Feedback,11/6/2019 22:08,11/25/2019 16:06,19,Benjamin Chow
Hello i am organizing a business trip to singapore and we would really like to have a guided tour of the CITY GALLERY Who should i contact,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,11/8/2019 1:27,11/25/2019 16:06,17,Benjamin Chow
jln bahar area vehicle parking code J0099 I would like to know the rate to purchase the vehicle lot Do I contact URA,,,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,11/4/2019 11:29,11/25/2019 16:06,21,Benjamin Chow
Contact number for assistance,General Information about URA,Top Match,General Information about URA,,No Feedback,11/8/2019 10:45,11/25/2019 16:05,17,Benjamin Chow
ura contact number,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 11:15,11/25/2019 16:05,14,Benjamin Chow
Am looking for the contact no of Ms Claire Heng Please assist,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 16:03,11/25/2019 16:05,14,Benjamin Chow
may I have Ms Ang Bee Phengs contact no,General Information about URA,Top Match,General Information about URA,,No Feedback,11/12/2019 15:25,11/25/2019 16:05,13,Benjamin Chow
whats the contact number of era,General Information about URA,Top Match,General Information about URA,,No Feedback,11/13/2019 12:02,11/25/2019 16:05,12,Benjamin Chow
need the contact number pls,General Information about URA,Top Match,General Information about URA,,No Feedback,11/13/2019 12:18,11/25/2019 16:05,12,Benjamin Chow
Hi who can I contact on URA pick a bench,General Information about URA,Top Match,General Information about URA,,No Feedback,11/15/2019 11:40,11/25/2019 16:05,10,Benjamin Chow
contact number,General Information about URA,Top Match,General Information about URA,,No Feedback,11/15/2019 17:34,11/25/2019 16:05,10,Benjamin Chow
i would like to contact urban open space planner inura,General Information about URA,Top Match,General Information about URA,,No Feedback,11/17/2019 16:25,11/25/2019 16:05,8,Benjamin Chow
URA contact,General Information about URA,Top Match,General Information about URA,,No Feedback,11/18/2019 14:56,11/25/2019 16:05,7,Benjamin Chow
Whats the contact number for car park divison I need to speak to your officer,General Information about URA,Top Match,General Information about URA,,No Feedback,11/18/2019 15:39,11/25/2019 16:05,7,Benjamin Chow
Hi can i know the contact,General Information about URA,Top Match,General Information about URA,,No Feedback,11/19/2019 16:33,11/25/2019 16:05,6,Benjamin Chow
may i know the contact number,General Information about URA,Top Match,General Information about URA,,No Feedback,11/20/2019 8:46,11/25/2019 16:05,5,Benjamin Chow
URA contact number,General Information about URA,Top Match,General Information about URA,,No Feedback,11/20/2019 10:12,11/25/2019 16:05,5,Benjamin Chow
who i should contact with regarding technical assistance on EDA software,General Information about URA,Top Match,General Information about URA,,No Feedback,11/20/2019 11:32,11/25/2019 16:05,5,Benjamin Chow
contact number of URa,General Information about URA,Top Match,General Information about URA,,No Feedback,11/20/2019 16:03,11/25/2019 16:05,5,Benjamin Chow
URA contact number,General Information about URA,Top Match,General Information about URA,,No Feedback,11/21/2019 8:53,11/25/2019 16:05,4,Benjamin Chow
URA CONTACT NUMBER,General Information about URA,Top Match,General Information about URA,,No Feedback,11/25/2019 12:55,11/25/2019 16:05,<1,Benjamin Chow
contact ura officer,General Information about URA,Top Match,General Information about URA,,No Feedback,11/25/2019 13:30,11/25/2019 16:05,<1,Benjamin Chow
how can contact URA,Who can I speak to at URA?,,General Information about URA,,No Feedback,11/8/2019 15:35,11/25/2019 16:04,17,Benjamin Chow
can i have contact mo,,,General Information about URA,,No Feedback,11/13/2019 10:31,11/25/2019 16:04,12,Benjamin Chow
contact URA for photos,Who can I speak to at URA?,,General Information about URA,,No Feedback,11/25/2019 10:28,11/25/2019 16:04,<1,Benjamin Chow
I would like to find rental transactions at B1 building called Trivex Building at Burn Road,,,General information on property market,,No Feedback,10/21/2019 16:00,11/25/2019 16:01,35,Benjamin Chow
which number should i call to make a complain,(ENF) How do I make a report when I see parking offences?,Top Match,(ENF) How do I make a report when I see parking offences?,Car Parks,No Feedback,10/4/2019 16:36,11/25/2019 15:56,52,Benjamin Chow
can i check with you it is URA same name call Singapore City Gallery,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,11/15/2019 15:28,11/25/2019 15:54,10,Benjamin Chow
Hi approved use of premise its been a week whom do i call,General info on change of use,Top Match,General Information about URA,,No Feedback,10/7/2019 10:15,11/25/2019 15:54,49,Benjamin Chow
if i need to contact officer for housing developer licence department which number should i call,Catch all,,General Information about URA,,No Feedback,10/7/2019 11:44,11/25/2019 15:54,49,Benjamin Chow
who should i call regarding building conservative,General info on change of use,,General Information about URA,,No Feedback,10/9/2019 13:11,11/25/2019 15:54,47,Benjamin Chow
Would like to call someone in URA to ask none of above relevant,Catch all,,General Information about URA,,No Feedback,10/30/2019 14:06,11/25/2019 15:54,26,Benjamin Chow
Please assist me to contact MR TANCHOONHANGURAGOVSG 6671 1035 to retrun my call and my email to hom dated 18 Oct,,,General Information about URA,,No Feedback,10/31/2019 14:46,11/25/2019 15:54,25,Benjamin Chow
i want to call ura office,(ENF) How do I make a report when I see parking offences?,Top Match,General Information about URA,,No Feedback,11/11/2019 10:58,11/25/2019 15:54,14,Benjamin Chow
cant find plot ratio any hotline i can call,How can I find the approved plot ratio of a development?,Top Match,General Information about URA,,No Feedback,11/21/2019 15:03,11/25/2019 15:54,4,Benjamin Chow
may I know which telephone number can i call URA regarding parking fine,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,General Information about URA,,No Feedback,11/25/2019 13:59,11/25/2019 15:54,<1,Benjamin Chow
who to call for fee schedule,General Information about URA,Top Match,General Information about URA,,No Feedback,10/10/2019 11:38,11/25/2019 15:53,46,Benjamin Chow
what is the office address I want to go there physically to register,General Information about URA,Top Match,General Information about URA,,No Feedback,10/14/2019 14:40,11/25/2019 15:53,42,Benjamin Chow
hello can u give me a call at<Contact no removed from file>  want to ask regarding of season parking,General Information about URA,Top Match,General Information about URA,,No Feedback,10/15/2019 13:31,11/25/2019 15:53,41,Benjamin Chow
What is the number to call to report contractor of private landed property,General Information about URA,Top Match,General Information about URA,,No Feedback,11/6/2019 14:34,11/25/2019 15:53,19,Benjamin Chow
Hi do u have hot line to call,General Information about URA,Top Match,General Information about URA,,No Feedback,11/8/2019 11:08,11/25/2019 15:53,17,Benjamin Chow
can I call someone about this,General Information about URA,Top Match,General Information about URA,,No Feedback,11/11/2019 10:51,11/25/2019 15:53,14,Benjamin Chow
how can i call your car park section,General Information about URA,Top Match,General Information about URA,,No Feedback,11/19/2019 15:09,11/25/2019 15:53,6,Benjamin Chow
where to call,General Information about URA,,General Information about URA,,No Feedback,11/19/2019 16:28,11/25/2019 15:53,6,Benjamin Chow
Can I have the contact number to call,General Information about URA,Top Match,General Information about URA,,No Feedback,11/21/2019 8:52,11/25/2019 15:53,4,Benjamin Chow
call ura,General Information about URA,Top Match,General Information about URA,,No Feedback,11/22/2019 16:54,11/25/2019 15:53,3,Benjamin Chow
phone number to call please,General Information about URA,Top Match,General Information about URA,,No Feedback,11/25/2019 14:00,11/25/2019 15:53,<1,Benjamin Chow
URA car park admins telephone no,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,General Information about URA,,No Feedback,11/7/2019 14:31,11/25/2019 15:52,18,Benjamin Chow
check equipment load for our roof top,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,,Catch all,,No Feedback,11/25/2019 14:42,11/25/2019 15:48,<1,Benjamin Chow
how to know if our buildings load is sufficient for telcos equipment,Catch all,,Catch all,,No Feedback,11/25/2019 14:41,11/25/2019 15:48,<1,Benjamin Chow
how to know if our buildings load is sufficient for mobile equipment,Catch all,,Catch all,,No Feedback,11/25/2019 14:41,11/25/2019 15:48,<1,Benjamin Chow
house rental,General info on renting private residential property,,General info on renting private residential property,,No Feedback,10/15/2019 10:57,11/25/2019 15:41,41,Benjamin Chow
Hi for a 2 bedroom private apartment whats the maximum number of occupants,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/17/2019 17:53,11/25/2019 15:41,39,Benjamin Chow
Hi may I know whats the maximun number of occupants in a 2 bedroom private apartment,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/17/2019 17:56,11/25/2019 15:40,39,Benjamin Chow
